Model,Accuracy,Precision,Recall,AUC
Logistic Regression,0.7951219512195122,0.7563025210084033,0.8737864077669902,0.8787359604035789
Decision Tree,0.8,0.75,0.9029126213592233,0.8906339234723015
Random Forest,0.9853658536585366,1.0,0.970873786407767,1.0
